annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
20200108;2020-07-09;37;35;31;44;14;7
20200102;2020-08-24;28;18;22;37;19;2
20200101;2020-08-22;7;11;5;32;33;5
20200097;2020-12-08;17;47;30;3;44;3
20200096;2020-10-08;28;38;2;1;11;6
20200095;2020-08-08;35;42;49;4;6;9
20200094;2020-05-08;46;32;22;15;17;8
20200091;2020-07-29;47;46;7;19;39;5
20200090;2020-07-27;19;24;45;15;25;3
20200086;2020-07-18;11;42;22;34;43;4
20200085;2020-07-15;6;12;4;35;44;3
20200081;2020-06-07;2;11;42;30;35;6
20200080;2020-04-07;23;13;27;44;36;6
20200079;2020-01-07;44;47;5;13;14;8
20200077;2020-06-27;1;39;2;6;27;4
20200072;2020-06-15;22;49;26;2;47;2
20200071;2020-06-13;25;32;6;5;28;4
20200069;2020-08-06;8;22;26;46;2;1
20200068;2020-06-06;14;7;43;44;29;5
20200067;2020-03-06;12;13;26;44;16;6
20200066;2020-01-06;24;26;2;36;32;7
20200060;2020-05-18;20;30;35;14;10;9
20200058;2020-05-13;43;4;17;38;49;8
20200057;2020-11-05;34;5;33;3;17;10
20200056;2020-09-05;48;39;29;47;35;7
20200054;2020-04-05;39;8;9;33;15;10
20200052;2020-04-29;25;29;47;5;7;1
20200049;2020-04-22;28;30;43;40;41;7
20200047;2020-04-18;45;1;33;47;27;8
20200046;2020-04-15;16;1;31;48;3;6
20200044;2020-11-04;8;43;1;48;41;7
20200041;2020-04-04;40;2;35;39;42;9
20200034;2020-03-18;48;10;46;28;29;9
20200032;2020-03-14;28;41;38;31;43;10
20200030;2020-09-03;26;41;5;33;42;7
20200023;2020-02-22;4;39;26;5;24;4
20200022;2020-02-19;40;16;21;41;46;2
20200021;2020-02-17;44;39;7;41;19;1
20200020;2020-02-15;48;4;25;5;45;7
20200016;2020-05-02;30;21;6;11;29;4
20200015;2020-03-02;49;20;7;31;33;4
20200014;2020-01-02;36;25;22;21;16;9
20200008;2020-01-18;12;1;33;13;2;9
20200006;2020-01-13;16;11;25;32;14;9
20200004;2020-08-01;17;44;29;16;37;8
20200003;2020-06-01;49;10;19;26;30;3
20200002;2020-04-01;22;9;43;31;34;5
20199156;2019-12-30;12;38;34;32;48;6
20199155;2019-12-28;24;48;49;18;8;8
20199152;2019-12-21;48;23;27;19;22;2
20199150;2019-12-16;38;26;39;35;10;6
20199141;2019-11-25;44;41;35;33;38;8
20199139;2019-11-20;22;23;7;30;37;3
20199137;2019-11-16;10;49;30;12;29;9
20199136;2019-11-13;22;13;10;35;19;1
2019129;2019-10-28;46;17;36;35;18;4
2019127;2019-10-23;49;44;31;33;40;1
2019131;2019-02-11;41;1;18;16;13;3
2019126;2019-10-21;13;42;40;48;3;4
2019124;2019-10-16;19;30;5;18;35;2
2019125;2019-10-19;36;23;24;31;32;8
2019118;2019-02-10;33;37;32;35;49;3
2019123;2019-10-14;16;48;18;24;6;9
2019109;2019-11-09;35;19;6;27;14;10
2019122;2019-12-10;27;16;12;37;10;9
2019105;2019-02-09;6;2;44;33;21;4
2019121;2019-09-10;14;39;17;44;36;5
2019099;2019-08-19;14;31;7;28;2;3
2019119;2019-05-10;30;2;38;16;31;5
2019098;2019-08-17;1;21;28;8;37;2
2019113;2019-09-21;15;42;41;44;8;10
2019097;2019-08-14;45;17;27;48;34;2
2019108;2019-09-09;42;2;44;28;5;8
2019096;2019-12-08;31;30;9;20;34;10
2019107;2019-07-09;16;12;27;30;2;2
2019092;2019-03-08;10;4;5;23;7;4
2019106;2019-04-09;25;2;4;7;35;3
2019087;2019-07-22;28;37;44;11;7;3
2019104;2019-08-31;47;21;25;19;38;4
2019086;2019-07-20;21;17;29;35;18;6
2019103;2019-08-28;14;25;47;7;42;5
2019084;2019-07-15;10;1;19;13;3;4
2019102;2019-08-26;4;21;46;27;47;6
2019077;2019-06-29;46;42;1;4;3;3
2019101;2019-08-24;23;31;15;38;17;4
2019076;2019-06-26;4;47;43;30;7;10
2019100;2019-08-21;17;3;38;1;25;8
2019075;2019-06-24;33;16;1;32;45;6
2019093;2019-05-08;5;45;22;26;33;9
2019066;2019-03-06;42;12;9;41;33;1
2019089;2019-07-27;25;28;39;47;31;8
2019065;2019-01-06;35;26;13;45;20;3
2019085;2019-07-17;26;4;27;47;28;8
2019057;2019-05-13;15;24;37;40;41;4
2019081;2019-08-07;26;11;38;20;33;10
2019056;2019-11-05;24;44;34;19;45;2
2019080;2019-06-07;13;6;2;27;12;10
2019051;2019-04-29;33;43;39;6;29;2
2019074;2019-06-22;13;20;10;25;27;2
2019049;2019-04-24;3;11;35;13;15;3
2019073;2019-06-19;45;46;4;36;18;5
2019048;2019-04-22;39;7;21;29;5;7
2019071;2019-06-15;2;13;20;30;37;6
